IPL  SignalType -------- Frequency[KHz]-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------  PRI -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----PW----     ----- AntScan --------  DeleteTime   ThreatLevel AutoWarning EmitterNotation EmitterName             Category ThreatERP PlatformNo PlatformName1 PlatformNo PlatformName2 PlatformNo PlatformName3 PlatformNo PlatformName4 PlatformNo PlatformName5 
no               type	 Low	 High	    BW    p_type  SwtLev  Low(1)     Hgh(1)     Low(2)     Hgh(2)     Low(3)     Hgh(3)     Low(4)     Hgh(4)     Low(5)     Hgh(5)     Low(6)     Hgh(6)     Low(7)     Hgh(7)     Low(8)     Hgh(8)     Low(9)     Hgh(9)     Low(10)     Hgh(10)     Low(11)     Hgh(11)     Low(12)     Hgh(12)     Low(13)     Hgh(13)     Low(14)     Hgh(14)     Low(15)     Hgh(15)     Low(16)     Hgh(16)    PP_low   PP_hgh   type    Low      High    Ptype  Jitter   SL   Low(1)  Hgh(1)  Low(2)  Hgh(2)   Low(3)   Hgh(3)   Low(4)   Hgh(4)  Low(5)  Hgh(5)  Low(6)  Hgh(6)  Low(7)  Hgh(7)  Low(8)  Hgh(8)  Low(9)  Hgh(9)  Low(10)  Hgh(10)  Low(11)  Hgh(11)  Low(12)  Hgh(12)  Low(13)  Hgh(13)  Low(14)  Hgh(14)  Low(15)  Hgh(15)  Low(16)  Hgh(16) PP_low     PP_hgh   Low    Hgh      Type  Low      High                                                                                                                                                                                                         
1    1           3   9800000	10200000  200000  1       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          21000000 23000000 1      499000    501000  0      0        0    0       0       0       0        0        0        0        0       0       0       0       0       0       0       0       0       0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     5     0        0        40           5           1           A001Z           m2_fp22                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
2    1           3   9800000	10200000  200000  2       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          19000000 24000000 1      499000    501000  0      0        0    0       0       0       0        0        0        0        0       0       0       0       0       0       0       0       0       0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     5     0        0        40           5           1           A002Z           m2_fswp                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
3    1           3   9800000	10200000  200000  3       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          19000000 25000000 1      499000    501000  0      0        0    0       0       0       0        0        0        0        0       0       0       0       0       0       0       0       0       0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     5     0        0        40           5           1           A003Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
4    1           1   9990000	10100000  200000  0       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          0        0        2      160000    220000  0      0        0    190     220     170     190      190      210      190      210     190     210     190     210     190     210     190     210     0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     5     0        0        40           5           1           A004Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
5    1           1   9990000	10100000  200000  0       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          0        0        1       99000    101000  0      0        0    190     220     170     190      190      210      190      210     190     210     190     210     190     210     190     210     0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     4     9999     12000    60           5           1           A005Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
6    1           1   9990000	10100000  200000  0       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          0        0        1       99000    101000  0      0        0    190     220     170     190      190      210      190      210     190     210     190     210     190     210     190     210     0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     1     900000   1200000  60           1           1           A006Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
7    1           1   9990000	10100000  200000  0       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          0        0        1     1900000  21000000  0      0        0    190     220     170     190      190      210      190      210     190     210     190     210     190     210     190     210     0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     1     19000000 21000000 50           7           1           A007Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
8    1           1   2990000	 3100000  200000  0       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          0        0        1       99000    101000  0      0        0    190     220     170     190      190      210      190      210     190     210     190     210     190     210     190     210     0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     1     900000   1200000  60           3           1           A008Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
9    1           1   9990000	10100000  200000  0       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          0        0        1     1900000  21000000  0      0        0    190     220     170     190      190      210      190      210     190     210     190     210     190     210     190     210     0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     2     1900000  2100000  60           4           1           A009Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
10   1           1   9990000	10100000  200000  0       0       0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0           0           0           0           0           0           0           0           0           0           0           0           0          0        0        1     1900000  21000000  0      0        0    190     220     170     190      190      210      190      210     190     210     190     210     190     210     190     210     0       0       0        0        0	     0        0        0        0        0        0        0        0        0        0        0       0          0         900    1100     3     2900000  3100000  60           5           1           A010Z           m2_fswm                 3        100       5          ..            5          ..            5          ..            5          ..            5          ..
